;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;;
;2017;2018;2019;2020;2021;
PRODUCTION APPROACH;;;;;;
Output of goods and services (at basic prices);206077;224256;240414;237103;279465;
Intermediate consumption (at purchasers' prices);117721;128978;136461;132524;157858;
Gross value added (at basic prices);88356;95278;103953;104579;121607;
Taxes on products;14924;15330;17002;16733;19356;
Subsidies on products;540;643;558;759;1951;
EXPENDITURE APPROACH;;;;;;
Total final consumption expenditure;77961;83843;91229;93675;107384;
Household final consumption expenditure;61370;65161;70436;69776;80454;
NPISH final consumption expenditure;588;632;683;522;594;
General government final consumption expenditure;16003;18050;20110;23377;26335;
Gross capital formation;20349;23328;25280;24515;29296;
Gross fixed capital formation;18795;20624;22404;22981;22720;
Changes in inventories;1551;2700;2872;1532;6570;
Acquisitions less disposals of valuables;2;4;5;2;6;
Exports of goods and services;68831;72242;76974;67656;85251;
Imports of goods and services;64400;69449;73087;65293;82918;
INCOME APPROACH;;;;;;
Compensation of employees;43620;48238;52371;54575;61328;
Gross operating surplus and mixed income;46604;49666;54353;53515;64995;
Taxes on production and imports;15907;16450;18601;18390;21080;
Subsidies;3390;4390;4929;5927;8391;
Gross domestic product (ESA 2010);102741;109964;120396;120553;139012;
Compensation of employees received from the rest of the world;1564;1666;1708;946;986;
Compensation of employees paid to the rest of the world;243;284;317;296;220;
Taxes on production and imports paid to the Institutions of the EU;186;236;224;243;427;
Subsidies received from the Institutions of the EU;2234;2022;2018;1904;3174;
Property income received from the rest of the world;1303;586;886;634;1494;
Property income paid to the rest of the world;6985;7316;7473;7125;8632;
Gross national income (ESA 2010);100428;106403;116996;116373;135388;
