;;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;Mln. BGN;
;;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
Net borrowing (-)/Net lending (+);General government;288;356;38;30;210;-361;-14;736;757;1430;-7;1034;-3249;-2744;-1417;-666;-598;-4528;-1665;303;1668;1898;2566;-4593;-5414;
Net borrowing (-)/Net lending (+);Central government;243;389;-23;-252;57;-593;-67;560;933;1579;-19;1117;-2884;-1930;-1492;-950;-899;-4689;-794;210;1490;1643;2447;-5097;-6359;
Net borrowing (-)/Net lending (+);Local government;13;-16;-57;-33;-20;32;-63;124;-181;102;-65;-268;-614;-9;-19;204;315;-33;-835;72;240;151;-150;338;136;
Net borrowing (-)/Net lending (+);Social security funds;32;-17;119;315;173;199;116;51;4;-251;78;185;248;-805;93;79;-14;194;-36;21;-63;104;269;165;810;
Consolidated gross debt of 'General government' sector;General government;18314;17849;18869;19889;19988;17377;15893;14720;12498;11189;10360;9482;9999;11455;12292;13702;13979;22725;23219;27749;25783;24305;24078;29595;33268;
Consolidated gross debt - currency and deposits;General government;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;
Consolidated gross debt - debt securities;General government;11765;10693;11764;12291;12955;11288;10007;8857;7035;6921;6414;6003;5865;6846;7392;8953;8453;13881;17317;20861;19000;17776;17863;22924;25885;
Consolidated gross debt - debt securities, short-term;General government;664;569;359;185;140;116;74;76;15;0;0;0;0;133;0;0;258;1855;0;0;0;0;0;0;0;
Consolidated gross debt - debt securities, long-term;General government;11102;10124;11405;12106;12815;11172;9933;8781;7020;6921;6414;6003;5865;6713;7392;8953;8196;12026;17317;20861;19000;17776;17863;22924;25885;
Consolidated gross debt - loans;General government;6549;7155;7105;7598;7033;6088;5886;5864;5463;4268;3946;3479;4134;4609;4901;4748;5526;8844;5901;6888;6783;6530;6215;6671;7383;
Consolidated gross debt - loans, short-term;General government;0;0;0;4;7;4;4;2;4;4;6;19;21;153;348;17;16;3368;200;94;28;11;15;8;38;
Consolidated gross debt - loans, long-term;General government;6549;7155;7105;7594;7026;6084;5882;5862;5459;4264;3940;3460;4113;4456;4552;4732;5510;5476;5702;6794;6755;6519;6200;6662;7345;
General Government expenditures on Gross fixed capital formation, total and by sub-sectors of General Government; by Classification of the Functions of Government (COFOG.BG);General government;250;936;1029;1092;1198;1158;1188;1414;1728;2229;3321;4056;3616;3435;2765;2809;3385;4427;5887;2539;2349;3373;4028;3975;3620;
Interest expenditure for 'General government' sector,  total and by sub-sectors of General Government; by Classification of the Functions of Government (COFOG.BG);General government;1233;955;890;1144;1293;753;797;760;732;691;709;611;531;521;582;657;627;723;823;841;829;726;668;632;653;
