date, Billions of US $, US $, Annual % Growth
1982-12-31,21.029650794075,2360
1983-12-31,18.679756142984,2090
1984-12-31,18.027947125257,2010
1985-12-31,17.466578583112,1950
1986-12-31,19.588769136552,2190
1987-12-31,24.404178344696,2720
1988-12-31,27.889860110058,3110
1989-12-31,25.143313521794,2830
1990-12-31,19.583467212281,2250
1991-12-31,14.005767677037,1620
1992-12-31,12.201065685719,1430
1993-12-31,10.582941268925,1250
1994-12-31,10.500829160413,1240
1995-12-31,12.750985846889,1520
1996-12-31,13.265578085912,1590,4.3777
1997-12-31,12.129824887762,1460,-13.7872
1998-12-31,11.856366581206,1440,4.895
1999-12-31,12.146867055098,1480,-7.9936
2000-12-31,13.562745082113,1660,3.5395
2001-12-31,14.192524626862,1770,6.3058
2002-12-31,15.421103257205,1970,7.7002
2003-12-31,18.444531850491,2370,4.821
2004-12-31,23.597393629723,3060,6.0869
2005-12-31,29.128687344423,3800,6.1845
2006-12-31,32.658104145409,4300,4.0559
2007-12-31,36.321164726662,4810,1.4467
2008-12-31,45.491733627988,6070,8.877
2009-12-31,49.752500479854,6680,-1.7626
2010-12-31,51.855132987806,7010,2.6839
2011-12-31,53.385943239388,7270,0.9619
2012-12-31,54.766081790901,7500,2.6478
2013-12-31,55.187887813946,7600,-1.418
2014-12-31,55.665400370364,7710,2.3184
2015-12-31,53.359475653667,7430,1.0717
2016-12-31,52.782006300314,7410,2.9797
2017-12-31,53.949014288943,7620,3.6852
2018-12-31,59.987639274399,8540,1.5986
2019-12-31,66.306886263113,9510,4.4504
2020-12-31,66.092941866223,9530,-4.7258
2021-12-31,77.064732822407,11200,8.6805
2022-12-31,85.6616616059,13250,2.7
