date, Life Expectancy from Birth (Years), Annual % Change
1950-12-31,59.65
1951-12-31,60.54,1.49
1952-12-31,61.43,1.47
1953-12-31,62.32,1.45
1954-12-31,63.21,1.43
1955-12-31,64.1,1.41
1956-12-31,64.99,1.39
1957-12-31,65.88,1.37
1958-12-31,66.77,1.35
1959-12-31,67.47,1.05
1960-12-31,68.17,1.04
1961-12-31,68.87,1.03
1962-12-31,69.57,1.02
1963-12-31,70.27,1.01
1964-12-31,70.396,0.18
1965-12-31,70.522,0.18
1966-12-31,70.648,0.18
1967-12-31,70.774,0.18
1968-12-31,70.9,0.18
1969-12-31,70.934,0.05
1970-12-31,70.968,0.05
1971-12-31,71.002,0.05
1972-12-31,71.036,0.05
1973-12-31,71.07,0.05
1974-12-31,71.076,0.01
1975-12-31,71.082,0.01
1976-12-31,71.088,0.01
1977-12-31,71.094,0.01
1978-12-31,71.1,0.01
1979-12-31,71.128,0.04
1980-12-31,71.156,0.04
1981-12-31,71.184,0.04
1982-12-31,71.212,0.04
1983-12-31,71.24,0.04
1984-12-31,71.272,0.04
1985-12-31,71.304,0.04
1986-12-31,71.336,0.04
1987-12-31,71.368,0.04
1988-12-31,71.4,0.04
1989-12-31,71.344,-0.08
1990-12-31,71.288,-0.08
1991-12-31,71.232,-0.08
1992-12-31,71.176,-0.08
1993-12-31,71.12,-0.08
1994-12-31,71.09,-0.04
1995-12-31,71.06,-0.04
1996-12-31,71.03,-0.04
1997-12-31,71,-0.04
1998-12-31,70.97,-0.04
1999-12-31,71.216,0.35
2000-12-31,71.462,0.35
2001-12-31,71.708,0.34
2002-12-31,71.954,0.34
2003-12-31,72.2,0.34
2004-12-31,72.388,0.26
2005-12-31,72.576,0.26
2006-12-31,72.764,0.26
2007-12-31,72.952,0.26
2008-12-31,73.14,0.26
2009-12-31,73.362,0.3
2010-12-31,73.584,0.3
2011-12-31,73.806,0.3
2012-12-31,74.028,0.3
2013-12-31,74.25,0.3
2014-12-31,74.37,0.16
2015-12-31,74.49,0.16
2016-12-31,74.61,0.16
2017-12-31,74.73,0.16
2018-12-31,74.85,0.16
2019-12-31,74.978,0.17
2020-12-31,75.106,0.17
2021-12-31,75.234,0.17
2022-12-31,75.362,0.17
2023-12-31,75.49,0.17
